Date,SPY,QQQ,IWM,IEF,TLT
2021-01-19,351.5924072265625,306.329833984375,199.89366149902344,102.45870971679688,127.85452270507812
2021-01-20,356.4579162597656,313.4554138183594,200.77395629882812,102.50192260742188,127.98046112060547
2021-01-21,356.7829284667969,315.962890625,199.03208923339844,102.35498046875,127.08221435546875
2021-01-22,355.5200500488281,315.05279541015625,201.34521484375,102.51058197021484,127.49353790283203
2021-01-25,356.92218017578125,317.6571044921875,201.14854431152344,102.92552947998047,128.9961395263672
2021-01-26,356.3650817871094,318.1218566894531,199.75320434570312,102.89096069335938,128.752685546875
2021-01-27,347.65533447265625,309.253662109375,196.09152221679688,103.01200866699219,129.080078125
2021-01-28,350.6451721191406,311.08343505859375,195.46408081054688,102.74398040771484,128.3665313720703
2021-01-29,343.62548828125,304.5388488769531,192.50474548339844,102.56241607666016,127.59431457519531
2021-02-01,349.3453063964844,312.1484680175781,197.23403930664062,102.69046783447266,127.74220275878906
2021-02-02,354.28515625,317.2408142089844,200.0435333251953,102.43099975585938,126.91860961914062
2021-02-03,354.5636291503906,315.9822692871094,200.64283752441406,102.18011474609375,125.79248046875
2021-02-04,358.59356689453125,319.71917724609375,204.7352752685547,102.14550018310547,125.45629119873047
2021-02-05,360.00494384765625,320.8035583496094,207.57284545898438,101.92925262451172,124.40576171875
2021-02-08,362.6048889160156,322.9527893066406,212.87339782714844,101.97247314453125,124.9520492553711
2021-02-09,362.3634948730469,322.8851013183594,213.87545776367188,102.05032348632812,125.04444885253906
2021-02-10,362.2055969238281,322.1492614746094,212.47071838378906,102.30985260009766,125.87652587890625
2021-02-11,362.7904968261719,323.9208984375,212.2272186279297,102.23199462890625,125.1873779296875
2021-02-12,364.5826721191406,325.7314147949219,212.82655334472656,101.8946304321289,123.63262176513672
2021-02-16,364.2668762207031,324.8503723144531,211.48741149902344,101.15933990478516,121.75007629394531
2021-02-17,364.35064697265625,323.29168701171875,209.8297882080078,101.22856903076172,122.52327728271484
2021-02-18,362.7998046875,321.8782958984375,206.58021545410156,101.21993255615234,122.02742004394531
